City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,bokoro,12.3807,17.0568,28.03,11,100,4.09,TD,1675538329
268,pisco,-13.7,-76.2167,24.03,83,0,4.63,PE,1675538329
269,sao filipe,14.8961,-24.4956,23.04,60,100,5.16,CV,1675538329
270,kayasula,44.325,45.0,0.19,70,100,3.79,RU,1675538330
271,saint-augustin,51.226,-58.6502,-8.5,78,100,11.15,CA,1675538330
272,banjar,-8.19,114.9675,24.89,90,100,1.31,ID,1675538331
273,harlingen,26.1906,-97.6961,22.25,65,40,2.06,US,1675538288
274,taltal,-25.4,-70.4833,22.5,75,9,1.53,CL,1675538331
275,takab,36.4009,47.1133,-7.87,80,100,1.28,IR,1675538332
276,yuxia,34.0615,108.6291,-1.66,56,79,1.05,CN,1675538333
277,sol-iletsk,51.1631,54.9918,-12.34,88,100,4.2,RU,1675538333
278,dongsheng,39.8161,109.9776,-5.37,41,96,3.85,CN,1675538333
279,carutapera,-1.195,-46.02,26.1,91,100,4.06,BR,1675538334
280,tingo maria,-9.2895,-76.0088,27.17,69,75,1.54,PE,1675538334
281,padang,-0.9492,100.3543,24.85,85,100,1.28,ID,1675538335
282,san patricio,28.017,-97.5169,20.09,52,47,3.34,US,1675538335
283,nhulunbuy,-12.2333,136.7667,24.34,88,100,2.06,AU,1675538335
284,namibe,-15.1961,12.1522,21.67,78,41,4.58,AO,1675538336
285,camana,-16.6228,-72.7111,25.79,73,99,3.23,PE,1675538336
286,phalombe,-15.8064,35.6507,21.22,91,100,0.4,MW,1675538336
287,ulundi,-28.3352,31.4162,20.04,95,79,0.77,ZA,1675538337
288,domoni,-12.2569,44.5319,26.64,83,95,0.63,KM,1675538337
289,abnub,27.2696,31.1511,13.66,45,98,2.86,EG,1675538337
290,bonavista,48.6499,-53.1147,-12.76,77,78,16.09,CA,1675538338
291,kiranur,10.5699,78.7868,22.84,88,6,2.7,IN,1675538338
292,mayo,38.8876,-76.5119,0.63,44,0,6.69,US,1675538338
293,palana,59.1167,159.9667,-21.89,99,98,1.76,RU,1675538339
294,apple valley,34.5008,-117.1859,21.27,27,62,1.04,US,1675538339
295,wadi maliz,36.4681,8.5495,11.81,90,5,2.68,TN,1675538339
296,kapuskasing,49.4169,-82.4331,-11.95,85,100,7.72,CA,1675538340
297,presidencia roque saenz pena,-26.7852,-60.4388,35.45,20,8,4.46,AR,1675538340
298,high level,58.5169,-117.136,-14.94,92,100,0.0,CA,1675538129
299,emerald,-23.5333,148.1667,22.97,59,93,4.59,AU,1675538340
300,saint-joseph,-21.3667,55.6167,25.21,85,99,5.0,RE,1675538341
301,ranong,9.9658,98.6348,24.34,88,99,1.78,TH,1675538341
302,butaritari,3.0707,172.7902,27.45,80,81,8.86,KI,1675538341
303,salalah,17.0151,54.0924,23.05,73,20,0.51,OM,1675538051
304,drawsko pomorskie,53.5306,15.8097,-2.18,84,59,0.89,PL,1675538342
305,acajutla,13.5928,-89.8275,31.41,46,28,3.32,SV,1675538342
306,fortuna,40.5982,-124.1573,14.96,61,0,8.23,US,1675538330
307,kenai,60.5544,-151.2583,-4.36,93,100,1.54,US,1675538343
308,lancaster,40.2504,-76.2499,-2.49,41,40,2.68,US,1675538114
309,pangai,-19.8,-174.35,27.28,75,97,10.25,TO,1675538343
310,matamoros,25.5333,-103.25,20.06,31,0,2.57,MX,1675538344
311,bosaso,11.2842,49.1816,22.59,73,88,1.4,SO,1675538344
312,cap malheureux,-19.9842,57.6142,26.37,76,100,1.34,MU,1675538344
313,coahuayana,18.7333,-103.6833,32.9,28,0,2.68,MX,1675538345
314,belaya gora,68.5333,146.4167,-36.26,100,100,2.19,RU,1675538345
315,cabatuan,10.8794,122.486,23.36,93,100,6.13,PH,1675538346
316,lyubim,58.3625,40.6843,-5.11,98,100,1.24,RU,1675538346
317,sumbe,-11.2061,13.8437,25.46,81,79,3.59,AO,1675538347
318,nassjo,57.6531,14.6968,-12.49,90,22,0.99,SE,1675538347
319,takaka,-40.85,172.8,20.87,91,96,1.76,NZ,1675538348
320,egvekinot,66.3167,-179.1667,-34.01,88,12,6.19,RU,1675538348
321,port hedland,-20.3167,118.5667,26.03,78,10,4.63,AU,1675538349
322,conde,-7.2597,-34.9075,29.7,62,20,6.69,BR,1675538349
323,killarney,52.05,-9.5167,5.68,93,83,2.01,IE,1675538350
324,qidong,31.8128,121.6561,3.29,80,100,2.76,CN,1675538350
325,nelson bay,-32.7167,152.15,19.44,68,0,3.58,AU,1675538350
326,natal,-5.795,-35.2094,31.36,58,40,7.2,BR,1675537859
327,vao,-22.6667,167.4833,26.28,86,85,8.54,NC,1675538351
328,atakpame,7.5333,1.1333,31.91,33,44,2.85,TG,1675538351
329,kloulklubed,7.0419,134.2556,27.03,81,100,7.49,PW,1675538352
330,gagra,43.3283,40.2239,3.51,66,100,2.73,GE,1675538352
331,xichang,27.8964,102.2634,5.56,67,1,1.31,CN,1675538352
332,ilulissat,69.2167,-51.1,-17.99,78,75,1.54,GL,1675538353
333,husavik,66.0449,-17.3389,-2.32,70,3,6.16,IS,1675538354
